lat,lon,alt,mq2value,bartemp,barpre,alt2,chk,dht11um,dht11temp,dthour
-219998784,-479303908,840602,558.0,29.5,92223.0,800.9,0,32.0,27.0,2015-07-28 15:44:17
-219998783,-479303908,840600,558.0,29.5,92223.0,800.9,0,32.0,27.0,2015-07-28 15:44:17
-219998783,-479303908,840602,558.0,29.5,92223.0,800.9,0,32.0,27.0,2015-07-28 15:44:17
-219998783,-479303909,840603,558.0,29.5,92223.0,800.9,0,32.0,27.0,2015-07-28 15:44:17
-219998782,-479303909,840612,546.0,29.5,92211.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998782,-479303908,840619,546.0,29.5,92211.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998782,-479303908,840622,546.0,29.5,92211.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998781,-479303908,840633,546.0,29.5,92211.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998782,-479303909,840612,553.0,29.4,92224.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998782,-479303908,840619,553.0,29.4,92224.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998782,-479303908,840622,553.0,29.4,92224.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998781,-479303908,840633,553.0,29.4,92224.0,802.24,0,32.0,27.0,2015-07-28 15:44:18
-219998780,-479303908,840651,556.0,29.4,92223.0,801.35,0,32.0,27.0,2015-07-28 15:44:19
-219998780,-479303909,840663,556.0,29.4,92223.0,801.35,0,32.0,27.0,2015-07-28 15:44:19
-219998780,-479303908,840677,556.0,29.4,92223.0,801.35,0,32.0,27.0,2015-07-28 15:44:19
-219998780,-479303909,840681,556.0,29.4,92223.0,801.35,0,32.0,27.0,2015-07-28 15:44:19
-219998780,-479303909,840703,556.0,29.4,92223.0,801.35,0,32.0,27.0,2015-07-28 15:44:19
-219998780,-479303909,840703,555.0,29.4,92229.0,801.17,0,32.0,27.0,2015-07-28 15:44:20
-219998780,-479303909,840721,555.0,29.4,92229.0,801.17,0,32.0,27.0,2015-07-28 15:44:20
-219998779,-479303909,840741,555.0,29.4,92229.0,801.17,0,32.0,27.0,2015-07-28 15:44:20
-219998779,-479303909,840763,555.0,29.4,92229.0,801.17,0,32.0,27.0,2015-07-28 15:44:20
-219998780,-479303909,840703,552.0,29.4,92221.0,800.72,0,32.0,27.0,2015-07-28 15:44:20
-219998780,-479303909,840721,552.0,29.4,92221.0,800.72,0,32.0,27.0,2015-07-28 15:44:20
-219998779,-479303909,840741,552.0,29.4,92221.0,800.72,0,32.0,27.0,2015-07-28 15:44:20
-219998779,-479303909,840763,552.0,29.4,92221.0,800.72,0,32.0,27.0,2015-07-28 15:44:20
-219998779,-479303909,840786,558.0,29.4,92231.0,800.9,0,32.0,27.0,2015-07-28 15:44:21
-219998778,-479303909,840804,558.0,29.4,92231.0,800.9,0,32.0,27.0,2015-07-28 15:44:21
-219998777,-479303910,840829,558.0,29.4,92231.0,800.9,0,32.0,27.0,2015-07-28 15:44:21
-219998777,-479303910,840834,558.0,29.4,92231.0,800.9,0,32.0,27.0,2015-07-28 15:44:21
-219998777,-479303910,840834,553.0,29.3,92227.0,801.17,0,32.0,27.0,2015-07-28 15:44:22
-219998777,-479303910,840849,553.0,29.3,92227.0,801.17,0,32.0,27.0,2015-07-28 15:44:22
-219998776,-479303910,840871,553.0,29.3,92227.0,801.17,0,32.0,27.0,2015-07-28 15:44:22
-219998776,-479303911,840893,553.0,29.3,92227.0,801.17,0,32.0,27.0,2015-07-28 15:44:22
-219998776,-479303911,840899,555.0,29.2,92245.0,800.0,0,32.0,27.0,2015-07-28 15:44:23
-219998776,-479303911,840906,555.0,29.2,92245.0,800.0,0,32.0,27.0,2015-07-28 15:44:23
-219998776,-479303912,840913,555.0,29.2,92245.0,800.0,0,32.0,27.0,2015-07-28 15:44:23
-219998775,-479303912,840915,555.0,29.2,92245.0,800.0,0,32.0,27.0,2015-07-28 15:44:23
-219998775,-479303912,840924,555.0,29.2,92245.0,800.0,0,32.0,27.0,2015-07-28 15:44:23
-219998776,-479303911,840899,548.0,29.1,92243.0,799.55,0,32.0,27.0,2015-07-28 15:44:23
-219998776,-479303911,840906,548.0,29.1,92243.0,799.55,0,32.0,27.0,2015-07-28 15:44:23
-219998776,-479303912,840913,548.0,29.1,92243.0,799.55,0,32.0,27.0,2015-07-28 15:44:23
