latitude,longitude,alt,mq2value,bartemp,barpre,alt2,chk,dht11um,dht11temp,dthour
-22.0007475,-47.9308692,866017,568.0,28.9,92117.0,810.69,0,33.0,26.0,2015-07-28 15:21:15
-22.0007422,-47.9308675,866045,568.0,28.9,92117.0,810.69,0,33.0,26.0,2015-07-28 15:21:15
-22.0007367,-47.9308656,866077,568.0,28.9,92117.0,810.69,0,33.0,26.0,2015-07-28 15:21:15
-22.0007311,-47.9308635,866111,568.0,28.9,92117.0,810.69,0,33.0,26.0,2015-07-28 15:21:15
-22.0007254,-47.9308612,866135,568.0,28.9,92117.0,810.69,0,33.0,26.0,2015-07-28 15:21:15
-22.0007198,-47.9308587,866179,558.0,28.9,92108.0,812.04,0,33.0,26.0,2015-07-28 15:21:16
-22.0007141,-47.9308559,866225,558.0,28.9,92108.0,812.04,0,33.0,26.0,2015-07-28 15:21:16
-22.0007084,-47.9308531,866257,558.0,28.9,92108.0,812.04,0,33.0,26.0,2015-07-28 15:21:16
-22.0007028,-47.9308501,866277,558.0,28.9,92108.0,812.04,0,33.0,26.0,2015-07-28 15:21:16
-22.0006974,-47.9308469,866301,558.0,28.9,92108.0,812.04,0,33.0,26.0,2015-07-28 15:21:16
-22.0007198,-47.9308587,866179,558.0,28.9,92126.0,809.43,0,33.0,26.0,2015-07-28 15:21:16
-22.0007141,-47.9308559,866225,558.0,28.9,92126.0,809.43,0,33.0,26.0,2015-07-28 15:21:16
-22.0007084,-47.9308531,866257,558.0,28.9,92126.0,809.43,0,33.0,26.0,2015-07-28 15:21:16
-22.0007028,-47.9308501,866277,558.0,28.9,92126.0,809.43,0,33.0,26.0,2015-07-28 15:21:16
-22.0006974,-47.9308469,866301,558.0,28.9,92126.0,809.43,0,33.0,26.0,2015-07-28 15:21:16
-22.0006921,-47.9308438,866308,565.0,28.9,92119.0,810.78,0,33.0,26.0,2015-07-28 15:21:17
-22.0006870,-47.9308407,866325,565.0,28.9,92119.0,810.78,0,33.0,26.0,2015-07-28 15:21:17
-22.0006820,-47.9308375,866318,565.0,28.9,92119.0,810.78,0,33.0,26.0,2015-07-28 15:21:17
-22.0006772,-47.9308346,866307,565.0,28.9,92119.0,810.78,0,33.0,26.0,2015-07-28 15:21:17
