,lat,lon,alt,mq,chk,dht11um,dht11temp,dthour,penormal
0,-1.4422409999999999,-48.491514,-19.0,26.0,0,34.0,32.0,2015-12-18 08:29:07,0.07407407407407407
1,-1.442295,-48.491461,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:28,0.037037037037037035
2,-1.442309,-48.491448999999996,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:29,0.037037037037037035
3,-1.442309,-48.491448999999996,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:29,0.037037037037037035
4,-1.442353,-48.491388,-22.0,25.0,0,34.0,31.0,2015-12-18 08:29:32,0.037037037037037035
5,-1.442353,-48.491388,-22.0,25.0,0,34.0,31.0,2015-12-18 08:29:32,0.037037037037037035
6,-1.4423629999999998,-48.491363,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:33,0.037037037037037035
7,-1.442397,-48.491292,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:36,0.037037037037037035
8,-1.442397,-48.491292,-20.0,25.0,0,34.0,31.0,2015-12-18 08:29:36,0.037037037037037035
9,-1.442411,-48.491274,-16.0,25.0,0,34.0,31.0,2015-12-18 08:29:37,0.037037037037037035
10,-1.442411,-48.491274,-16.0,25.0,0,34.0,31.0,2015-12-18 08:29:37,0.037037037037037035
11,-1.4424540000000001,-48.4912,-14.0,26.0,0,34.0,31.0,2015-12-18 08:29:42,0.07407407407407407
12,-1.4424540000000001,-48.4912,-14.0,26.0,0,34.0,31.0,2015-12-18 08:29:42,0.07407407407407407
13,-1.442464,-48.491188,-14.0,26.0,0,34.0,31.0,2015-12-18 08:29:43,0.07407407407407407
14,-1.442464,-48.491188,-14.0,26.0,0,34.0,31.0,2015-12-18 08:29:43,0.07407407407407407
15,-1.442524,-48.491122,-16.0,26.0,0,34.0,31.0,2015-12-18 08:29:49,0.07407407407407407
16,-1.442533,-48.491116,-16.0,26.0,0,34.0,31.0,2015-12-18 08:29:50,0.07407407407407407
17,-1.442533,-48.491116,-16.0,26.0,0,34.0,31.0,2015-12-18 08:29:50,0.07407407407407407
18,-1.4425860000000001,-48.491048,-20.0,26.0,0,34.0,31.0,2015-12-18 08:29:58,0.07407407407407407
19,-1.4425860000000001,-48.491048,-20.0,26.0,0,34.0,31.0,2015-12-18 08:29:58,0.07407407407407407
20,-1.4425940000000002,-48.491038,-20.0,26.0,0,34.0,31.0,2015-12-18 08:29:59,0.07407407407407407
21,-1.4425940000000002,-48.491038,-20.0,26.0,0,34.0,31.0,2015-12-18 08:29:59,0.07407407407407407
22,-1.4426299999999999,-48.490968,-22.0,26.0,0,34.0,31.0,2015-12-18 08:30:05,0.07407407407407407
23,-1.4426299999999999,-48.490968,-22.0,26.0,0,34.0,31.0,2015-12-18 08:30:05,0.07407407407407407
24,-1.4426299999999999,-48.490953999999995,-22.0,26.0,0,34.0,31.0,2015-12-18 08:30:06,0.07407407407407407
25,-1.44266,-48.490875,-22.0,29.0,0,34.0,31.0,2015-12-18 08:30:15,0.18518518518518517
26,-1.44266,-48.490875,-22.0,29.0,0,34.0,31.0,2015-12-18 08:30:15,0.18518518518518517
27,-1.442664,-48.490864,-22.0,29.0,0,34.0,31.0,2015-12-18 08:30:16,0.18518518518518517
28,-1.4426809999999999,-48.490787,-24.0,28.0,0,34.0,31.0,2015-12-18 08:30:22,0.14814814814814814
29,-1.442687,-48.490769,-24.0,28.0,0,34.0,31.0,2015-12-18 08:30:23,0.14814814814814814
30,-1.442687,-48.490769,-24.0,28.0,0,34.0,31.0,2015-12-18 08:30:23,0.14814814814814814
31,-1.442717,-48.490685,-27.0,27.0,0,34.0,31.0,2015-12-18 08:30:27,0.1111111111111111
32,-1.442724,-48.49067,-27.0,27.0,0,34.0,31.0,2015-12-18 08:30:28,0.1111111111111111
33,-1.442724,-48.49067,-27.0,27.0,0,34.0,31.0,2015-12-18 08:30:28,0.1111111111111111
34,-1.442762,-48.490595,-33.0,27.0,0,34.0,31.0,2015-12-18 08:30:34,0.1111111111111111
35,-1.442762,-48.490595,-33.0,27.0,0,34.0,31.0,2015-12-18 08:30:34,0.1111111111111111
36,-1.4427649999999999,-48.49058,-33.0,26.0,0,34.0,31.0,2015-12-18 08:30:35,0.07407407407407407
37,-1.4427649999999999,-48.49058,-33.0,27.0,0,34.0,31.0,2015-12-18 08:30:35,0.1111111111111111
