,lat,lon,alt,mq,chk,dht11um,dht11temp,dthour,bondenormal
0,-1.443363,-48.478164,-38.0,25.0,0,41.0,29.0,2015-12-17 08:13:38,0.037037037037037035
1,-1.443363,-48.478164,-38.0,27.0,0,41.0,29.0,2015-12-17 08:13:38,0.1111111111111111
2,-1.4433280000000002,-48.478141,-30.0,29.0,0,41.0,29.0,2015-12-17 08:14:10,0.18518518518518517
3,-1.4433280000000002,-48.478141,-30.0,29.0,0,41.0,29.0,2015-12-17 08:14:10,0.18518518518518517
4,-1.443098,-48.478102,-18.0,29.0,0,41.0,29.0,2015-12-17 08:14:11,0.18518518518518517
5,-1.443098,-48.478102,-18.0,29.0,0,41.0,29.0,2015-12-17 08:14:11,0.18518518518518517
6,-1.4430969999999999,-48.478035,13.0,32.0,0,41.0,29.0,2015-12-17 08:15:48,0.2962962962962963
7,-1.4431379999999998,-48.477956,31.0,32.0,0,41.0,29.0,2015-12-17 08:16:22,0.2962962962962963
8,-1.4431379999999998,-48.477956,31.0,32.0,0,41.0,29.0,2015-12-17 08:16:22,0.2962962962962963
9,-1.443142,-48.477928000000006,30.0,31.0,0,41.0,29.0,2015-12-17 08:16:23,0.25925925925925924
10,-1.443142,-48.477928000000006,30.0,31.0,0,41.0,29.0,2015-12-17 08:16:23,0.25925925925925924
11,-1.4431450000000001,-48.477868,31.0,31.0,0,41.0,29.0,2015-12-17 08:16:24,0.25925925925925924
12,-1.4431450000000001,-48.477868,31.0,31.0,0,41.0,29.0,2015-12-17 08:16:24,0.25925925925925924
13,-1.4431530000000001,-48.477838,27.0,31.0,0,41.0,29.0,2015-12-17 08:16:25,0.25925925925925924
14,-1.4431530000000001,-48.477838,27.0,31.0,0,41.0,29.0,2015-12-17 08:16:25,0.25925925925925924
15,-1.44321,-48.477779999999996,22.0,32.0,0,41.0,29.0,2015-12-17 08:16:31,0.2962962962962963
16,-1.44321,-48.477779999999996,22.0,31.0,0,41.0,29.0,2015-12-17 08:16:31,0.25925925925925924
