,co,umidade,temperatura,data,conormal
1151,22.79,39.79,27.84,2015-11-30 00:00:48,0.257173219978746
1152,22.95,39.8,27.84,2015-11-30 00:03:18,0.2656748140276301
1153,22.78,39.81,27.84,2015-11-30 00:05:48,0.2566418703506908
1154,23.12,39.87,27.84,2015-11-30 00:08:18,0.2747077577045696
1155,22.61,40.5,27.84,2015-11-30 00:10:48,0.24760892667375128
1156,22.44,40.73,27.84,2015-11-30 00:13:18,0.23857598299681196
1157,22.69,40.79,27.84,2015-11-30 00:15:48,0.2518597236981935
1158,22.69,40.79,27.84,2015-11-30 00:18:18,0.2518597236981935
1159,22.35,40.79,27.84,2015-11-30 00:20:48,0.23379383634431464
1160,22.49,40.79,27.84,2015-11-30 00:23:18,0.2412327311370881
1161,22.18,40.79,27.84,2015-11-30 00:25:49,0.22476089266737512
1162,22.35,40.8,27.84,2015-11-30 00:28:19,0.23379383634431464
1163,22.75,40.82,27.84,2015-11-30 00:30:49,0.25504782146652494
1164,22.51,41.01,27.84,2015-11-30 00:33:19,0.24229543039319879
1165,22.79,41.76,27.84,2015-11-30 00:35:49,0.257173219978746
1166,22.27,41.77,27.84,2015-11-30 00:38:19,0.22954303931987244
1167,22.08,41.78,27.84,2015-11-30 00:40:49,0.21944739638682242
1168,22.05,41.78,27.84,2015-11-30 00:43:19,0.21785334750265678
1169,22.15,41.78,27.84,2015-11-30 00:45:49,0.22316684378320928
1170,22.17,41.79,27.84,2015-11-30 00:48:19,0.22422954303931997
1171,22.77,41.79,27.84,2015-11-30 00:50:49,0.25611052072263546
1172,22.08,41.8,27.84,2015-11-30 00:53:19,0.21944739638682242
1173,22.03,41.8,27.84,2015-11-30 00:55:49,0.21679064824654629
1174,22.15,41.81,27.84,2015-11-30 00:58:20,0.22316684378320928
1175,21.88,41.84,27.84,2015-11-30 01:00:50,0.20882040382571726
1176,21.77,41.86,27.84,2015-11-30 01:03:20,0.20297555791710944
1177,22.05,41.88,27.84,2015-11-30 01:05:50,0.21785334750265678
1178,22.09,42.21,27.84,2015-11-30 01:08:20,0.21997874601487777
1179,22.03,42.77,27.84,2015-11-30 01:10:50,0.21679064824654629
1180,22.06,42.77,27.84,2015-11-30 01:13:20,0.21838469713071193
1181,22.04,42.78,27.84,2015-11-30 01:15:50,0.21732199787460144
1182,21.79,42.79,27.84,2015-11-30 01:18:20,0.20403825717321994
1183,21.81,42.79,27.84,2015-11-30 01:20:50,0.20510095642933043
1184,21.93,42.79,27.84,2015-11-30 01:23:20,0.2114771519659936
1185,21.8,42.79,27.84,2015-11-30 01:25:50,0.20456960680127528
1186,22.11,42.8,27.84,2015-11-30 01:28:21,0.22104144527098826
1187,22.27,43.6,27.66,2015-11-30 01:30:51,0.22954303931987244
1188,21.94,43.77,27.79,2015-11-30 01:33:21,0.21200850159404894
1189,22.66,43.77,27.68,2015-11-30 01:35:51,0.2502656748140276
1190,22.37,43.77,27.61,2015-11-30 01:38:21,0.23485653560042513
1191,22.1,43.79,27.59,2015-11-30 01:40:51,0.2205100956429331
1192,22.4,43.81,27.3,2015-11-30 01:43:21,0.23645058448459078
1193,22.33,44.75,27.12,2015-11-30 01:45:51,0.23273113708820395
1194,22.51,44.76,27.02,2015-11-30 01:48:21,0.24229543039319879
1195,22.46,44.76,26.86,2015-11-30 01:50:51,0.23963868225292245
1196,22.55,44.77,26.85,2015-11-30 01:53:21,0.2444208289054198
1197,22.85,44.77,26.85,2015-11-30 01:55:51,0.26036131774707766
1198,22.16,44.79,26.87,2015-11-30 01:58:21,0.22369819341126462
1199,22.78,44.8,26.85,2015-11-30 02:00:52,0.2566418703506908
1200,22.31,44.83,26.85,2015-11-30 02:03:22,0.23166843783209343
1201,22.24,44.86,26.85,2015-11-30 02:05:52,0.2279489904357066
1202,22.47,45.75,26.85,2015-11-30 02:08:22,0.2401700318809776
1203,22.19,45.76,26.85,2015-11-30 02:10:52,0.22529224229543046
1204,21.71,45.76,26.98,2015-11-30 02:13:22,0.19978746014877793
1205,21.73,45.72,26.86,2015-11-30 02:15:52,0.20085015940488843
1206,22.6,45.76,26.85,2015-11-30 02:18:22,0.24707757704569613
1207,22.74,45.76,26.85,2015-11-30 02:20:52,0.2545164718384696
1208,22.27,45.76,26.86,2015-11-30 02:23:22,0.22954303931987244
1209,21.72,45.76,26.85,2015-11-30 02:25:52,0.20031880977683308
1210,22.02,45.76,26.85,2015-11-30 02:28:22,0.21625929861849094
1211,21.62,45.76,26.85,2015-11-30 02:30:53,0.1950053134962806
1212,21.72,45.76,26.85,2015-11-30 02:33:23,0.20031880977683308
1213,21.94,45.76,26.85,2015-11-30 02:35:53,0.21200850159404894
1214,21.62,45.76,26.85,2015-11-30 02:38:23,0.1950053134962806
1215,21.86,45.76,26.85,2015-11-30 02:40:53,0.20775770456960677
1216,22.51,45.77,26.85,2015-11-30 02:43:23,0.24229543039319879
1217,21.99,45.78,26.85,2015-11-30 02:45:53,0.2146652497343251
1218,21.68,45.78,26.85,2015-11-30 02:48:23,0.1981934112646121
1219,21.83,45.78,26.85,2015-11-30 02:50:53,0.20616365568544093
1220,21.99,45.79,26.85,2015-11-30 02:53:23,0.2146652497343251
1221,21.76,45.79,26.85,2015-11-30 02:55:53,0.20244420828905427
1222,21.98,45.8,26.85,2015-11-30 02:58:24,0.21413390010626995
1223,21.75,45.82,26.85,2015-11-30 03:00:54,0.20191285866099892
1224,22.05,46.01,26.81,2015-11-30 03:03:24,0.21785334750265678
1225,21.82,46.86,26.75,2015-11-30 03:05:54,0.20563230605738578
1226,21.51,46.77,26.85,2015-11-30 03:08:24,0.18916046758767277
1227,21.59,46.83,26.79,2015-11-30 03:10:54,0.19341126461211477
1228,21.3,46.77,26.85,2015-11-30 03:13:24,0.17800212539851226
1229,21.47,46.77,26.85,2015-11-30 03:15:54,0.1870350690754516
1230,21.58,46.77,26.85,2015-11-30 03:18:24,0.19287991498405943
1231,21.74,46.83,26.79,2015-11-30 03:20:54,0.20138150903294358
1232,22.14,46.79,26.84,2015-11-30 03:23:25,0.2226354941551541
1233,22.28,46.91,26.73,2015-11-30 03:25:55,0.23007438894792778
1234,22.13,46.86,26.79,2015-11-30 03:28:25,0.22210414452709876
1235,22.24,46.84,26.83,2015-11-30 03:30:55,0.2279489904357066
1236,21.78,46.86,26.81,2015-11-30 03:33:25,0.20350690754516476
1237,21.95,46.86,26.84,2015-11-30 03:35:55,0.21253985122210411
1238,22.16,46.95,26.73,2015-11-30 03:38:25,0.22369819341126462
1239,21.98,47.82,26.65,2015-11-30 03:40:55,0.21413390010626995
1240,21.88,47.12,26.84,2015-11-30 03:43:25,0.20882040382571726
1241,22.12,47.01,26.75,2015-11-30 03:45:55,0.2215727948990436
1242,22.03,47.83,26.65,2015-11-30 03:48:25,0.21679064824654629
1243,22.1,47.88,26.7,2015-11-30 03:50:56,0.2205100956429331
1244,21.92,47.98,26.65,2015-11-30 03:53:26,0.21094580233793844
1245,21.84,48.11,26.52,2015-11-30 03:55:56,0.20669500531349627
1246,21.87,48.2,26.44,2015-11-30 03:58:26,0.2082890541976621
1247,21.49,47.99,26.67,2015-11-30 04:00:56,0.18809776833156208
1248,21.74,48.02,26.63,2015-11-30 04:03:26,0.20138150903294358
1249,21.86,48.29,26.39,2015-11-30 04:05:56,0.20775770456960677
1250,21.95,48.43,26.41,2015-11-30 04:08:26,0.21253985122210411
1251,22.29,49.29,26.32,2015-11-30 04:10:56,0.23060573857598293
1252,22.25,49.27,26.4,2015-11-30 04:13:26,0.22848034006376194
1253,22.64,49.67,26.08,2015-11-30 04:15:56,0.24920297555791712
1254,22.33,50.44,26.18,2015-11-30 04:18:26,0.23273113708820395
1255,22.71,50.69,25.95,2015-11-30 04:20:56,0.25292242295430395
1256,22.51,51.5,25.86,2015-11-30 04:23:27,0.24229543039319879
1257,22.17,51.52,25.89,2015-11-30 04:25:57,0.22422954303931997
1258,22.08,51.73,25.86,2015-11-30 04:28:27,0.21944739638682242
1259,22.27,51.77,25.86,2015-11-30 04:30:57,0.22954303931987244
1260,22.4,52.47,25.86,2015-11-30 04:33:27,0.23645058448459078
1261,22.2,52.73,25.86,2015-11-30 04:35:57,0.2258235919234856
1262,22.5,52.74,25.86,2015-11-30 04:38:27,0.24176408076514344
1263,22.46,52.72,25.88,2015-11-30 04:40:57,0.23963868225292245
1264,22.62,52.76,25.86,2015-11-30 04:43:27,0.24814027630180663
1265,22.27,52.6,26.02,2015-11-30 04:45:57,0.22954303931987244
1266,21.99,52.68,25.92,2015-11-30 04:48:27,0.2146652497343251
1267,21.82,52.62,25.98,2015-11-30 04:50:58,0.20563230605738578
1268,21.91,52.51,26.1,2015-11-30 04:53:28,0.2104144527098831
1269,21.94,52.62,25.97,2015-11-30 04:55:58,0.21200850159404894
1270,21.8,52.72,25.86,2015-11-30 04:58:28,0.20456960680127528
1271,21.68,52.56,26.04,2015-11-30 05:00:58,0.1981934112646121
1272,21.91,52.73,25.86,2015-11-30 05:03:28,0.2104144527098831
1273,21.71,52.55,26.05,2015-11-30 05:05:58,0.19978746014877793
1274,22.01,52.73,25.86,2015-11-30 05:08:28,0.2157279489904358
1275,21.91,52.76,25.86,2015-11-30 05:10:58,0.2104144527098831
1276,22.12,52.81,25.86,2015-11-30 05:13:28,0.2215727948990436
1277,22.01,52.83,25.86,2015-11-30 05:15:59,0.2157279489904358
1278,22.26,52.92,25.86,2015-11-30 05:18:29,0.2290116896918173
1279,22.14,53.6,25.86,2015-11-30 05:20:59,0.2226354941551541
1280,22.23,53.71,25.86,2015-11-30 05:23:29,0.22741764080765145
