,co,umidade,temperatura,data,conormal
2878,22.04,37.38,28.28,2015-12-03 00:02:15,0.21732199787460144
2879,21.86,37.26,28.39,2015-12-03 00:04:45,0.20775770456960677
2880,21.85,37.3,28.36,2015-12-03 00:07:15,0.20722635494155162
2881,22.16,37.66,28.0,2015-12-03 00:09:45,0.22369819341126462
2882,22.01,37.55,28.13,2015-12-03 00:12:15,0.2157279489904358
2883,21.47,37.17,28.52,2015-12-03 00:14:45,0.1870350690754516
2884,21.3,37.18,28.51,2015-12-03 00:17:16,0.17800212539851226
2885,21.57,37.46,28.25,2015-12-03 00:19:46,0.19234856535600425
2886,21.76,37.43,28.35,2015-12-03 00:22:16,0.20244420828905427
2887,21.76,38.26,28.08,2015-12-03 00:24:46,0.20244420828905427
2888,21.84,38.79,27.85,2015-12-03 00:27:16,0.20669500531349627
2889,21.6,38.74,27.9,2015-12-03 00:29:46,0.19394261424017012
2890,21.62,38.73,27.91,2015-12-03 00:32:16,0.1950053134962806
2891,21.93,38.79,27.85,2015-12-03 00:34:46,0.2114771519659936
2892,21.8,38.71,27.93,2015-12-03 00:37:16,0.20456960680127528
2893,21.72,38.79,27.85,2015-12-03 00:39:46,0.20031880977683308
2894,21.2,38.5,28.14,2015-12-03 00:42:16,0.17268862911795957
2895,21.83,38.8,27.85,2015-12-03 00:44:46,0.20616365568544093
2896,21.77,38.81,27.84,2015-12-03 00:47:17,0.20297555791710944
2897,20.9,38.48,28.17,2015-12-03 00:49:47,0.15674814027630174
2898,20.98,38.27,28.38,2015-12-03 00:52:17,0.1609989373007439
2899,21.57,38.8,27.86,2015-12-03 00:54:47,0.19234856535600425
2900,21.28,38.77,27.9,2015-12-03 00:57:17,0.17693942614240177
2901,20.88,38.32,28.35,2015-12-03 00:59:47,0.15568544102019125
2902,21.08,38.28,28.38,2015-12-03 01:02:17,0.1663124335812964
2903,21.14,38.81,27.85,2015-12-03 01:04:47,0.1695005313496281
2904,21.11,38.82,27.84,2015-12-03 01:07:17,0.16790648246546225
2905,21.07,38.84,27.84,2015-12-03 01:09:47,0.16578108395324126
2906,21.18,38.87,27.84,2015-12-03 01:12:17,0.17162592986184907
2907,21.03,39.44,27.84,2015-12-03 01:14:47,0.16365568544102024
2908,21.47,39.79,27.84,2015-12-03 01:17:18,0.1870350690754516
2909,21.24,39.79,27.84,2015-12-03 01:19:48,0.17481402763018059
2910,21.54,39.79,27.84,2015-12-03 01:22:18,0.19075451647183841
2911,21.83,39.8,27.84,2015-12-03 01:24:48,0.20616365568544093
2912,21.38,39.8,27.84,2015-12-03 01:27:18,0.18225292242295424
2913,20.96,39.8,27.84,2015-12-03 01:29:48,0.15993623804463342
2914,21.49,39.8,27.84,2015-12-03 01:32:18,0.18809776833156208
2915,20.92,39.81,27.84,2015-12-03 01:34:48,0.15781083953241243
